Date,Open,High,Low,Close,Adj_Close,Volume
2006-04-01,27.670000,27.940001,24.000000,24.150000,17.300411,1446126900
2006-05-01,24.320000,25.000000,22.450001,22.650000,16.225845,2309193400
2006-06-01,22.740000,23.650000,21.459999,23.299999,16.756573,1971637200
2006-07-01,23.530001,24.600000,22.230000,24.059999,17.303141,1332298100
2006-08-01,24.020000,26.250000,23.850000,25.700001,18.482576,1134188400
2006-09-01,25.889999,27.520000,25.389999,27.350000,19.741638,1097482600
2006-10-01,27.320000,28.850000,27.150000,28.709999,20.723297,1290967400
2006-11-01,28.780001,30.000000,28.580000,29.360001,21.192482,1239142000
2006-12-01,29.230000,30.260000,28.799999,29.860001,21.627077,1137160900
2007-01-01,29.910000,31.480000,29.400000,30.860001,22.351357,1324518200
2007-02-01,30.840000,30.940001,27.790001,28.170000,20.403034,1290850900
2007-03-01,27.820000,28.549999,26.600000,27.870001,20.255735,1269506500
2007-04-01,27.889999,30.740000,27.559999,29.940001,21.760206,958964900
2007-05-01,29.940001,31.160000,29.900000,30.690001,22.305302,1327154700
2007-06-01,30.790001,30.900000,29.040001,29.469999,21.487997,1181412800
2007-07-01,29.670000,31.840000,28.950001,28.990000,21.138004,1295548000
2007-08-01,28.950001,30.100000,27.510000,28.730000,20.948423,1228579500
2007-09-01,28.500000,29.850000,28.270000,29.459999,21.556002,1117419500
2007-10-01,29.459999,37.000000,29.290001,36.810001,26.934029,1772076700
2007-11-01,36.529999,37.500000,32.680000,33.599998,24.585257,1830846800
2007-12-01,33.500000,36.720001,32.630001,35.599998,26.134787,1064817100
2008-01-01,35.790001,35.959999,31.040001,32.599998,23.932413,1950301600
2008-02-01,31.059999,33.250000,27.020000,27.200001,19.968147,2324580800
2008-03-01,27.240000,29.590000,26.870001,28.379999,20.915369,1452390200
2008-04-01,28.830000,32.099998,27.930000,28.520000,21.018543,1444720000
2008-05-01,28.500000,30.530001,27.950001,28.320000,20.871153,1405170200
2008-06-01,28.240000,29.570000,27.110001,27.510000,20.348833,1560439100
2008-07-01,27.270000,27.910000,24.870001,25.719999,19.024792,1637501300
2008-08-01,25.920000,28.500000,25.070000,27.290001,20.186110,1206949700
2008-09-01,27.670000,27.760000,23.500000,26.690001,19.821039,1927538700
2008-10-01,26.379999,27.469999,20.650000,22.330000,16.583132,3044579400
2008-11-01,22.480000,23.660000,17.500000,20.219999,15.016156,1794911800
2008-12-01,19.879999,21.250000,18.469999,19.440001,14.534701,1546943400
2009-01-01,19.530001,21.000000,16.750000,17.100000,12.785154,1564043400
2009-02-01,17.030001,19.930000,16.100000,16.150000,12.074863,1456213400
2009-03-01,15.960000,18.879999,14.870000,18.370001,13.828864,1625752800
2009-04-01,18.230000,21.200001,18.180000,20.260000,15.251643,1562400700
2009-05-01,20.190001,20.940001,19.010000,20.889999,15.725904,1101122400
2009-06-01,21.000000,24.340000,20.860001,23.770000,18.007607,1411144700
2009-07-01,24.049999,25.719999,22.000000,23.520000,17.818209,1517459800
2009-08-01,23.820000,25.490000,23.030001,24.650000,18.674276,993250400
2009-09-01,24.350000,26.250000,23.760000,25.719999,19.594439,1038979700
2009-10-01,25.410000,29.350000,24.430000,27.730000,21.125734,1523430100
2009-11-01,27.700001,30.139999,27.410000,29.410000,22.405617,1018256700
2009-12-01,29.520000,31.500000,29.250000,30.480000,23.323427,920605500
2010-01-01,30.620001,31.240000,27.660000,28.180000,21.563457,1359650900
2010-02-01,28.389999,29.030001,27.570000,28.670000,21.938404,1074643300
2010-03-01,28.770000,30.570000,28.240000,29.290001,22.517643,1110237200
2010-04-01,29.350000,31.580000,28.620001,30.540001,23.478621,1319029500
2010-05-01,30.670000,31.059999,24.559999,25.799999,19.834581,1720130200
2010-06-01,25.530001,26.930000,22.950001,23.010000,17.769508,1671811600
2010-07-01,23.090000,26.410000,22.730000,25.809999,19.931807,1408590600
2010-08-01,25.990000,26.379999,23.320000,23.469999,18.124739,1279372100
2010-09-01,23.670000,25.530001,23.540001,24.490000,19.013317,1273139500
2010-10-01,24.770000,27.200001,23.780001,26.670000,20.705818,1281432800
2010-11-01,26.879999,28.870001,24.930000,25.260000,19.611130,1361176300
2010-12-01,25.570000,28.400000,25.559999,27.910000,21.801653,1033710000
2011-01-01,28.049999,29.459999,27.420000,27.730000,21.661051,1361258700
2011-02-01,27.799999,28.340000,26.430000,26.580000,20.762730,1114368500
2011-03-01,26.600000,26.780001,24.680000,25.389999,19.950403,1310885200
2011-04-01,25.530001,26.870001,24.719999,25.920000,20.366861,1313844800
2011-05-01,25.940001,26.250000,24.030001,25.010000,19.651814,1364062800
2011-06-01,24.990000,26.000000,23.650000,26.000000,20.563622,1297757600
2011-07-01,25.930000,28.150000,25.840000,27.400000,21.670897,1259328200
2011-08-01,27.510000,27.690001,23.790001,26.600000,21.038172,1719339500
2011-09-01,26.459999,27.500000,24.600000,24.889999,19.809967,1279920200
2011-10-01,24.719999,27.500000,24.260000,26.629999,21.194832,1218142500
2011-11-01,26.190001,27.200001,24.299999,25.580000,20.359135,1046207400
2011-12-01,25.559999,26.190001,25.160000,25.959999,20.817163,1007166600
2012-01-01,26.549999,29.950001,26.389999,29.530001,23.679924,1354858100
2012-02-01,29.790001,32.000000,29.709999,31.740000,25.452112,984332300
2012-03-01,31.930000,32.950001,31.490000,32.259998,26.039394,942366500
2012-04-01,32.220001,32.889999,30.230000,32.020000,25.845678,940739700
2012-05-01,32.049999,32.340000,28.639999,29.190001,23.561382,1014372600
2012-06-01,28.760000,31.139999,28.320000,30.590000,24.853443,973131400
2012-07-01,30.620001,31.049999,28.540001,29.469999,23.943472,846604100
2012-08-01,29.590000,30.959999,28.969999,30.820000,25.040308,671748400
2012-09-01,30.450001,31.610001,29.740000,29.760000,24.339268,893107700
2012-10-01,29.809999,30.250000,27.760000,28.540001,23.341490,1105402300
2012-11-01,28.840000,30.200001,26.340000,26.620001,21.771214,1310516100
2012-12-01,26.780001,27.730000,26.260000,26.709999,22.024319,947310900
2013-01-01,27.250000,28.230000,26.280001,27.450001,22.634506,1145054400
2013-02-01,27.670000,28.200001,27.100000,27.799999,22.923109,780587000
2013-03-01,27.719999,28.660000,27.520000,28.610001,23.786327,844946000
2013-04-01,28.639999,33.110001,28.110001,33.099998,27.519310,1465757200
2013-05-01,32.930000,35.279999,32.320000,34.900002,29.015833,1071860000
2013-06-01,34.919998,35.779999,32.570000,34.540001,28.917889,945155500
2013-07-01,34.750000,36.430000,31.020000,31.840000,26.657373,1111130600
2013-08-01,32.060001,35.200001,30.840000,33.400002,27.963453,1051265000
2013-09-01,31.750000,33.750000,30.950001,33.279999,28.059326,1242961500
2013-10-01,33.349998,36.290001,32.799999,35.410000,29.855186,965331500
2013-11-01,35.669998,38.290001,35.389999,38.130001,32.148502,800431600
2013-12-01,38.090000,38.980000,35.529999,37.410000,31.780651,826617700
2014-01-01,37.349998,37.889999,34.630001,37.840000,32.145954,930226200
2014-02-01,37.740002,38.459999,35.689999,38.310001,32.545223,705304500
2014-03-01,37.919998,41.500000,37.490002,40.990002,35.083065,778425700
2014-04-01,41.150002,41.660000,38.900002,40.400002,34.578087,746112500
2014-05-01,40.240002,40.970001,38.509998,40.939999,35.040260,574362900
2014-06-01,40.950001,42.290001,39.860001,41.700001,35.942535,555767300
2014-07-01,41.860001,45.709999,41.049999,43.160000,37.200947,731616500
2014-08-01,43.209999,45.470001,42.209999,45.430000,39.157536,513919700
2014-09-01,45.430000,47.570000,44.529999,46.360001,40.208714,860827300
2014-10-01,46.270000,46.970001,42.099998,46.950001,40.720440,853260900
2014-11-01,46.889999,50.049999,46.730000,47.810001,41.466320,523005900
2014-12-01,47.880001,49.060001,44.900002,46.450001,40.540871,626771200
2015-01-01,46.660000,47.910000,40.349998,40.400002,35.260521,918966800
2015-02-01,40.590000,44.299999,40.230000,43.849998,38.271629,656509700
2015-03-01,43.669998,44.189999,40.540001,40.660000,35.739994,824335300
2015-04-01,40.599998,49.540001,40.119999,48.639999,42.754391,874535300
2015-05-01,48.580002,48.910000,46.020000,46.860001,41.189770,633072800
2015-06-01,47.060001,47.770000,43.939999,44.150002,39.059891,664853400
2015-07-01,44.459999,47.400002,43.320000,46.700001,41.315907,725458100
2015-08-01,46.980000,48.410000,39.720001,43.520000,38.502541,776480300
2015-09-01,42.169998,45.000000,41.660000,44.259998,39.415432,673079900
2015-10-01,44.750000,54.369999,43.750000,52.639999,46.878178,856716800
2015-11-01,52.849998,54.980000,52.529999,54.349998,48.401009,662626600
2015-12-01,54.410000,56.849998,53.680000,55.480000,49.740349,792820900
2016-01-01,54.320000,55.389999,49.099998,55.090000,49.390690,927914700
2016-02-01,54.880001,55.090000,48.189999,50.880001,45.616234,814770900
2016-03-01,50.970001,55.639999,50.580002,55.230000,49.871719,641110900
2016-04-01,55.049999,56.770000,49.349998,49.869999,45.031742,699025700
2016-05-01,50.000000,53.000000,49.459999,53.000000,47.858078,530704800
2016-06-01,52.439999,52.950001,48.040001,51.169998,46.528797,823627000
2016-07-01,51.130001,57.290001,50.389999,56.680000,51.539036,647587800
2016-08-01,56.599998,58.700001,56.139999,57.459999,52.248287,467078900
2016-09-01,57.009998,58.189999,55.610001,57.599998,52.702030,526427800
2016-10-01,57.410000,61.369999,56.320000,59.919998,54.824753,614841800
2016-11-01,59.970001,61.410000,57.279999,60.259998,55.135830,613056800
2016-12-01,60.110001,64.099998,58.799999,62.139999,57.240063,513579700
2017-01-01,62.790001,65.910004,61.950001,64.650002,59.552151,493453500
2017-02-01,64.360001,65.239998,62.750000,63.980000,58.934971,440744000
2017-03-01,64.129997,66.190002,63.619999,65.860001,61.034538,489169700
2017-04-01,65.809998,69.139999,64.849998,68.459999,63.444016,433191200
2017-05-01,68.680000,70.739998,67.139999,69.839996,64.722923,517218500
2017-06-01,70.239998,72.889999,68.089996,68.930000,64.245743,629716800
2017-07-01,69.330002,74.419998,68.019997,72.699997,67.759537,469851200
2017-08-01,73.099998,74.959999,71.279999,74.769997,69.688858,444070500
2017-09-01,74.709999,75.970001,72.919998,74.489998,69.797806,375983900
2017-10-01,74.709999,86.199997,73.709999,83.180000,77.940407,449950000
2017-11-01,83.680000,85.059998,82.239998,84.169998,78.868057,421926000
2017-12-01,83.599998,87.500000,80.699997,85.540001,80.554298,466203300
2018-01-01,86.129997,95.449997,85.500000,95.010002,89.472351,574258400
2018-02-01,94.790001,96.070000,83.830002,93.769997,88.304619,725663300
2018-03-01,93.989998,97.239998,87.080002,91.269997,86.354034,750754800
2018-04-01,90.470001,97.900002,87.510002,93.519997,88.482880,668130700
2018-05-01,93.209999,99.989998,92.449997,98.839996,93.516319,509417900
2018-06-01,99.279999,102.690002,97.260002,98.610001,93.703125,602585200
2018-07-01,98.099998,111.150002,98.000000,106.080002,100.801392,569352300
2018-08-01,106.029999,112.779999,104.839996,112.330002,106.740402,456628100
2018-09-01,110.849998,115.290001,107.230003,114.370003,109.097107,480255500
2018-10-01,114.750000,116.180000,100.110001,106.809998,101.885666,927548000
2018-11-01,107.050003,112.239998,99.349998,110.889999,105.777557,720228600
2018-12-01,113.000000,113.419998,93.959999,101.570000,97.305801,944314600
2019-01-01,99.550003,107.900002,97.199997,104.430000,100.045746,714212800
2019-02-01,103.779999,113.239998,102.349998,112.029999,107.326653,469095900
2019-03-01,112.889999,120.820000,108.800003,117.940002,113.471100,589095800
2019-04-01,118.949997,131.369995,118.099998,130.600006,125.651405,433157700
2019-05-01,130.529999,130.649994,123.040001,123.680000,118.993584,547218800
2019-06-01,123.849998,138.399994,119.010002,133.960007,129.361145,508324300
2019-07-01,136.630005,141.679993,134.669998,136.270004,131.591843,484079900
2019-08-01,137.000000,140.940002,130.779999,137.860001,133.127213,584482000
2019-09-01,136.610001,142.369995,134.509995,139.029999,134.704147,472544800
2019-10-01,139.660004,145.669998,133.220001,143.369995,138.909149,549523400
2019-11-01,144.259995,152.500000,142.970001,151.380005,146.669922,392371800
2019-12-01,151.809998,159.550003,146.649994,157.699997,153.313171,450303300
2020-01-01,158.779999,174.050003,156.509995,170.229996,165.494614,558530000
2020-02-01,170.429993,190.699997,152.000000,162.009995,157.503265,887522300
2020-03-01,165.309998,175.000000,132.520004,157.710007,153.741669,1612695500
2020-04-01,153.000000,180.399994,150.360001,179.210007,174.700684,984705000
2020-05-01,175.800003,187.509995,173.800003,183.250000,178.639023,688845000
2020-06-01,182.539993,204.399994,181.350006,203.509995,198.941757,764965400
2020-07-01,203.139999,216.380005,197.509995,205.009995,200.408096,770190800
2020-08-01,211.520004,231.149994,203.139999,225.529999,220.467499,692423900
2020-09-01,225.509995,232.860001,196.250000,210.330002,206.105713,768176300
2020-10-01,213.490005,225.210007,199.619995,202.470001,198.403580,631618000
2020-11-01,204.289993,228.119995,200.119995,214.070007,209.770615,573443000
2020-12-01,214.509995,227.179993,209.110001,222.419998,218.523499,594761700
2021-01-01,222.529999,242.639999,211.940002,231.960007,227.896393,648076400
2021-02-01,235.059998,246.130005,227.880005,232.380005,228.309021,490962200
2021-03-01,235.899994,241.050003,224.259995,235.770004,232.173126,724945800
2021-04-01,238.470001,263.190002,238.050003,252.179993,248.332764,568661600
2021-05-01,253.399994,254.350006,238.070007,249.679993,245.870911,495084900
2021-06-01,251.229996,271.649994,243.000000,270.899994,267.383240,508572200
2021-07-01,269.609985,290.149994,269.600006,284.910004,281.211334,522672700
2021-08-01,286.359985,305.839996,283.739990,301.880005,297.960999,441308900
2021-09-01,302.869995,305.320007,281.619995,281.920013,278.792847,502918700
2021-10-01,282.119995,332.000000,280.250000,331.619995,327.941528,516515800
2021-11-01,331.359985,349.670013,326.369995,330.589996,326.922974,509885200
2021-12-01,335.130005,344.299988,317.250000,336.320007,333.197906,625674800
2022-01-01,335.350006,338.000000,276.049988,310.980011,308.093140,947531400
2022-02-01,310.410004,315.119995,271.519989,298.790009,296.016266,697050600
2022-03-01,296.399994,315.950012,270.000000,308.309998,306.079468,734334200
2022-04-01,309.369995,315.109985,270.000000,277.519989,275.512238,627343400
2022-05-01,277.709991,290.880005,246.440002,271.869995,269.903107,742902000
2022-06-01,275.200012,277.690002,241.509995,256.829987,255.565781,621372300
2022-07-01,256.390015,282.000000,245.940002,280.739990,279.358093,534891800
2022-08-01,277.820007,294.179993,260.660004,261.470001,260.182922,477157600
2022-09-01,258.869995,267.450012,232.729996,232.899994,232.245483,575586600
2022-10-01,235.410004,251.039993,219.130005,232.130005,231.477661,671225100
2022-11-01,234.600006,255.330002,213.429993,255.139999,254.422989,615255600
